ISLAND_ID;TERRAIN;LEFT_RESOURCE;RIGHT_RESOURCE;TOTEMS;TOKENS;NATURAL_SHELTER
1;PLAINS;WOOD;ANIMAL;0;2;FALSE
2;MOUNTAINS;SHORT_TERM_FOOD;ANIMAL;1;1;TRUE
3;RIVER;ANIMAL;SHORT_TERM_FOOD;0;3;FALSE
4;HILLS;WOOD;SHORT_TERM_FOOD;1;1;FALSE
5;MOUNTAINS;SHORT_TERM_FOOD;WOOD;1;1;FALSE
6;PLAINS;SHORT_TERM_FOOD;WOOD;1;1;FALSE
7;HILLS;WOOD;ANIMAL;1;2;FALSE
8;BEACH;WOOD;SHORT_TERM_FOOD;0;0;FALSE
9;PLAINS;SHORT_TERM_FOOD;ANIMAL;0;3;FALSE
10;RIVER;WOOD;SHORT_TERM_FOOD;1;1;FALSE
11;MOUNTAINS;WOOD;ANIMAL;0;1;TRUE
